price,price_per_sqft,bhk,total_sqft,floor_num,location
255000.0,7846,4,3250,6,"adani shantigram waterlily, sarkhej gandhinagar highway gurugram"
300000.0,8219,4,3650,6,"adani shantigram waterlily, sarkhej gandhinagar highway gurugram"
275000.0,7534,4,3650,3,"adani shantigram waterlily, sarkhej gandhinagar highway gurugram"
300000.0,9231,4,3250,7,"adani shantigram waterlily, sarkhej gandhinagar highway gurugram"
290000.0,7945,4,3650,3,"adani shantigram waterlily, sarkhej gandhinagar highway gurugram"
285000.0,8769,4,3250,6,"adani shantigram waterlily, sarkhej gandhinagar highway gurugram"
330000.0,9041,4,2190,15,"adani shantigram waterlily, sarkhej gandhinagar highway gurugram"
480000.0,7742,5,3410,16,"adani shantigram waterlily, sarkhej gandhinagar highway gurugram"
295000.0,8082,4,2400,3,"adani shantigram waterlily, vaishnodevi circle gurugram"
275000.0,7746,4,2490,7,"adani shantigram waterlily, vaishnodevi circle gurugram"
300000.0,8242,4,2184,0,"adani shantigram waterlily, vaishnodevi circle gurugram"
290000.0,8169,4,2350,12,"adani shantigram waterlily, vaishnodevi circle gurugram"
300000.0,8219,4,2190,4,"adani shantigram waterlily, vaishnodevi circle gurugram"
276000.0,7562,4,2462,8,"adani shantigram waterlily, vaishnodevi circle gurugram"
300000.0,8219,4,2420,2,"adani shantigram waterlily, vaishnodevi circle gurugram"
350000.0,7393,5,4734,16,"adani shantigram waterlily, vaishnodevi circle gurugram"
300000.0,8451,4,2308,8,"adani shantigram waterlily, vaishnodevi circle gurugram"
9000000.0,6429,2,840,0,"adani the meadows, vaishnodevi circle gurugram"
121000.0,6667,3,1815,12,"adani the meadows, vaishnodevi circle gurugram"
160000.0,7018,3,1500,11,"adani the meadows, vaishnodevi circle gurugram"
150000.0,6579,3,1368,0,"adani the meadows, vaishnodevi circle gurugram"
120000.0,6486,3,1020,7,"adani the meadows, vaishnodevi circle gurugram"
111000.0,6122,3,1815,12,"adani the meadows, vaishnodevi circle gurugram"
150000.0,6579,3,1456,17,"adani the meadows, vaishnodevi circle gurugram"
3700000.0,3114,2,800,4,gurugram
4200000.0,5833,2,720,1,gurugram
2600000.0,3250,1,800,3,gurugram
2200000.0,2785,2,790,5,gurugram
5000000.0,4167,2,1000,3,gurugram
2800000.0,3618,1,774,2,gurugram
5100000.0,5105,2,999,0,gurugram
5000000.0,4274,2,990,1,gurugram
5000000.0,3157,3,1584,2,gurugram
4850000.0,5988,2,810,1,gurugram
7500000.0,7500,2,800,1,gurugram
6700000.0,6108,2,805,4,gurugram
100000.0,5556,3,1647,4,gurugram
6800000.0,4782,3,1066,3,gurugram
105000.0,5426,3,963,6,gurugram
6500000.0,6878,2,945,4,gurugram
8500000.0,3864,3,1650,1,gurugram
5500000.0,4157,2,999,2,gurugram
7200000.0,4444,3,1620,3,gurugram
7100000.0,4176,3,968,10,gurugram
7800000.0,5778,2,1350,10,gurugram
7500000.0,4125,3,1350,1,gurugram
138000.0,6133,3,1710,4,gurugram
125000.0,6039,4,2070,9,gurugram
426000.0,9000,4,2604,0,"altius viitor, ambli bopal road gurugram"
402000.0,8500,4,2841,8,"altius viitor, ambli bopal road gurugram"
402000.0,8500,4,2604,7,"altius viitor, ambli bopal road gurugram"
416000.0,7500,4,3108,4,"altius viitor, ambli bopal road gurugram"
444000.00000000006,8000,4,3108,5,"altius viitor, ambli bopal road gurugram"
397000.0,7500,4,2968,7,"altius viitor, ambli bopal road gurugram"
352000.0,7500,4,2630,3,"altius viitor, ambli bopal road gurugram"
443000.0,9356,4,4735,8,"altius viitor, ambli bopal road gurugram"
376000.0,8000,4,2585,1,"altius viitor, ambli bopal road gurugram"
450000.0,8108,4,3108,0,"altius viitor, ambli bopal road gurugram"
390000.0,8219,4,2657,7,"altius viitor, ambli bopal road gurugram"
448000.00000000006,8072,4,5550,7,"altius viitor, ambli bopal road gurugram"
460000.0,8288,4,3330,8,"altius viitor, ambli bopal road gurugram"
527000.0,9495,4,3108,9,"altius viitor, ambli bopal road gurugram"
477000.0,9000,4,2915,0,"altius viitor, ambli bopal road gurugram"
500000.0,9009,4,3108,5,"altius viitor, ambli bopal road gurugram"
495000.0,9000,4,3025,0,"altius viitor, ambli bopal road gurugram"
499000.0,8991,4,5550,9,"altius viitor, ambli bopal road gurugram"
499000.0,8991,4,3220,8,"altius viitor, ambli bopal road gurugram"
385000.0,8088,4,2800,4,"amara, bodakdev gurugram"
380000.0,7983,4,2856,3,"amara, bodakdev gurugram"
380000.0,8000,4,2856,6,"amara, bodakdev gurugram"
366000.0,7700,4,4760,3,"amara, bodakdev gurugram"
380000.0,8000,4,4760,3,"amara, bodakdev gurugram"
380000.0,8172,4,2610,3,"amara, bodakdev gurugram"
469000.00000000006,8726,5,5375,0,"amara, bodakdev gurugram"
465000.00000000006,9769,4,4760,5,"amara, bodakdev gurugram"
4500000.0,4545,2,945,3,ambawadi gurugram
8000000.0,5000,3,1450,1,ambawadi gurugram
6000000.0,6667,2,900,2,ambawadi gurugram
215000.0,8269,4,1850,3,ambawadi gurugram
153000.0,6815,3,1950,1,ambawadi gurugram
132000.0,7521,3,1610,5,ambawadi gurugram
240000.0,11840,4,2027,7,ambawadi gurugram
150000.0,4902,4,3060,0,ambawadi gurugram
160000.0,5926,3,1890,0,ambawadi gurugram
143000.0,7100,3,1114,6,ambawadi gurugram
265000.0,11413,4,1935,1,ambawadi gurugram
160000.0,8649,3,1110,1,ambli gurugram
150000.0,8333,3,1000,4,ambli gurugram
315000.0,9265,4,1972,6,ambli gurugram
306000.0,9474,4,1776,8,ambli gurugram
306000.0,9500,4,3230,11,ambli gurugram
416000.0,8000,4,5200,19,ambli gurugram
308000.0,9536,4,1776,8,ambli gurugram
287000.0,6800,4,4230,18,ambli gurugram
420000.0,8050,4,3083,5,ambli gurugram
410000.0,8542,4,4800,7,ambli gurugram
450000.0,8491,4,5300,7,ambli gurugram
313000.0,9690,4,1938,13,ambli gurugram
442000.0,8500,4,5200,15,ambli gurugram
326000.0,7600,4,2358,8,ambli gurugram
318000.0,8221,4,2127,2,ambli gurugram
298000.0,9250,4,3230,1,ambli gurugram
291000.0,6900,4,2326,17,ambli gurugram
441000.0,9000,4,2842,6,ambli gurugram
350000.0,8947,4,3912,9,ambli gurugram
571000.0,9000,5,2400,9,ambli gurugram
603000.0,9500,5,3810,16,ambli gurugram
536000.0,8501,4,6305,11,ambli gurugram
550000.0,9144,5,3308,10,ambli gurugram
571000.0,9501,5,3370,9,ambli gurugram
603000.0,9500,5,6350,5,ambli gurugram
570000.0,9492,5,3305,12,ambli gurugram
603000.0,9500,5,6350,11,ambli gurugram
470000.0,9000,4,5225,4,ambli gurugram
575000.0,11593,4,4960,3,ambli gurugram
544000.0,9000,5,3300,12,ambli gurugram
1140000.0,9500,6,7206,18,ambli gurugram
765000.0,10200,5,7500,24,ambli gurugram
610000.0,8815,4,6920,10,ambli gurugram
480000.0,8000,4,6000,15,ambli gurugram
561000.0,10496,4,2945,5,ambli gurugram
578000.0,9499,4,3500,5,ambli gurugram
1140000.0,10000,6,6840,21,ambli gurugram
541000.0,8500,4,6365,4,ambli gurugram
540000.0,9000,5,6005,16,ambli gurugram
571000.0,9500,5,3488,10,ambli gurugram
575000.0,10000,4,5750,20,ambli gurugram
602000.0,9000,5,3679,6,ambli gurugram
669000.0,10000,5,6690,13,ambli gurugram
550000.0,8661,5,3810,4,ambli gurugram
525000.0,8117,4,6475,7,ambli gurugram
570000.0,9500,5,3302,15,ambli gurugram
602000.0,9000,5,3678,14,ambli gurugram
570000.0,9492,5,3303,6,ambli gurugram
602000.0,10226,5,3532,9,ambli gurugram
619000.0,9250,5,3685,3,ambli gurugram
603000.0,9496,5,3493,3,ambli gurugram
635000.0,10000,5,3492,2,ambli gurugram
630000.0,9000,5,4130,5,ambli gurugram
671000.0,9000,4,7460,20,ambli gurugram
602000.0,9000,5,3010,0,ambli gurugram
544000.0,8500,4,6400,7,ambli gurugram
639000.0,10550,4,3336,9,ambli gurugram
600000.0,10000,5,3500,11,ambli gurugram
497000.0,9000,4,3207,9,ambli gurugram
603000.0,9500,5,3492,2,ambli gurugram
635000.0,10000,5,3500,15,ambli gurugram
350000.0,10072,4,2085,9,ambli bopal road gurugram
441000.0,6241,4,7066,25,ambli bopal road gurugram
287000.0,7200,4,1756,4,ambli bopal road gurugram
284000.0,6500,4,2540,5,ambli bopal road gurugram
372000.0,8500,4,2409,7,ambli bopal road gurugram
311000.0,9147,4,1900,7,ambli bopal road gurugram
423000.00000000006,9000,4,2634,8,ambli bopal road gurugram
603000.0,9496,5,3620,11,ambli bopal road gurugram
600000.0,10187,4,5890,22,ambli bopal road gurugram
621000.0,9600,4,3561,5,ambli bopal road gurugram
287000.0,8500,4,1962,7,ambli road gurugram
399000.0,8600,4,2559,5,ambli road gurugram
309000.0,8500,4,1999,5,ambli road gurugram
470000.0,9000,4,2980,5,ambli road gurugram
597000.0,10150,4,3458,4,ambli road gurugram
472000.0,9150,4,2842,8,ambli road gurugram
208000.0,6484,4,1785,0,"ambrosia, vaishnodevi circle gurugram"
226000.0,7045,4,1785,0,"ambrosia, vaishnodevi circle gurugram"
216000.0,6727,4,3211,0,"ambrosia, vaishnodevi circle gurugram"
226000.0,7040,4,3210,9,"ambrosia, vaishnodevi circle gurugram"
260000.0,8125,4,1787,8,"ambrosia, vaishnodevi circle gurugram"
225000.0,7062,4,1789,8,"ambrosia, vaishnodevi circle gurugram"
227000.0,6135,4,2063,0,"ambrosia, vaishnodevi circle gurugram"
232000.0,6270,4,2080,9,"ambrosia, vaishnodevi circle gurugram"
260000.0,8678,4,2066,3,"ambrosia, vaishnodevi circle gurugram"
310000.0,8378,4,2063,6,"ambrosia, vaishnodevi circle gurugram"
310000.0,8356,4,2064,10,"ambrosia, vaishnodevi circle gurugram"
263000.0,7089,4,3710,7,"ambrosia, vaishnodevi circle gurugram"
300000.0,8108,4,2035,10,"ambrosia, vaishnodevi circle gurugram"
255000.0,7752,4,1815,9,"anamika high point, bodakdev gurugram"
351000.0,8252,4,2345,13,"anamika high point, bodakdev gurugram"
272000.0,8200,4,1828,1,"anamika high point, bodakdev gurugram"
273000.0,6825,4,1766,7,"anamika high point, bodakdev gurugram"
273000.0,8193,4,3332,15,"anamika high point, bodakdev gurugram"
356000.0,8641,4,2268,9,"anamika high point, bodakdev gurugram"
281000.0,8646,4,1767,5,"anamika high point, bodakdev gurugram"
270000.0,9000,4,1766,9,"anamika high point, bodakdev gurugram"
480000.0,7752,5,3410,22,"anamika high point, bodakdev gurugram"
531000.0,8747,5,3345,5,"anamika high point, bodakdev gurugram"
515000.00000000006,8466,4,3346,16,"anamika high point, bodakdev gurugram"
6200000.0,5741,2,1080,7,anand nagar prahlad nagar gurugram
6300000.0,7368,2,855,7,anand nagar prahlad nagar gurugram
120000.0,6897,3,1218,0,anand nagar prahlad nagar gurugram
283000.0,7500,4,3778,1,anand nagar prahlad nagar gurugram
260000.0,10497,3,1436,4,anand nagar prahlad nagar gurugram
475000.0,11831,4,2610,10,anand nagar prahlad nagar gurugram
300000.0,7500,4,2200,10,"anantara alpines, thaltej gurugram"
293000.0,7185,4,2243,7,"anantara alpines, thaltej gurugram"
281000.0,7200,4,2250,5,"anantara alpines, thaltej gurugram"
285000.0,7300,4,2263,5,"anantara alpines, thaltej gurugram"
320000.0,8000,4,2200,10,"anantara alpines, thaltej gurugram"
288000.0,7200,4,2240,8,"anantara alpines, thaltej gurugram"
293000.0,7502,4,2148,8,"anantara alpines, thaltej gurugram"
315000.0,7000,4,2610,7,"anantara alpines, thaltej gurugram"
283000.0,7075,4,2400,8,"anantara alpines, thaltej gurugram"
285000.0,7301,4,2148,1,"anantara alpines, thaltej gurugram"
300000.0,7500,4,2200,7,"anantara alpines, thaltej gurugram"
281000.0,7200,4,3906,8,"anantara alpines, thaltej gurugram"
328000.0,7500,4,2408,8,"anantara alpines, thaltej gurugram"
340000.0,8000,4,2339,10,"anantara alpines, thaltej gurugram"
292000.0,7500,4,2148,8,"anantara alpines, thaltej gurugram"
285000.0,7300,4,2538,7,"anantara alpines, thaltej gurugram"
6200000.0,4825,2,899,0,"applewoods sorrel apartments, bopal gurugram"
5800000.0,4514,2,1285,8,"applewoods sorrel apartments, bopal gurugram"
5800000.0,4514,2,1285,5,"applewoods sorrel apartments, bopal gurugram"
8000000.0,4255,3,1880,6,"applewoods sorrel apartments, bopal gurugram"
5300000.0,4125,2,930,13,"applewoods sorrel apartments, bopal gurugram"
7800000.0,4149,3,1880,8,"applewoods sorrel apartments, bopal gurugram"
5500000.0,4280,2,1285,4,"applewoods sorrel apartments, bopal gurugram"
271000.0,6500,4,4180,4,"aranyam, shilaj gurugram"
290000.0,6291,4,4610,4,"aranyam, shilaj gurugram"
295000.0,6500,4,2497,10,"aranyam, shilaj gurugram"
274000.0,6500,4,4230,10,"aranyam, shilaj gurugram"
290000.0,6690,4,2385,7,"aranyam, shilaj gurugram"
325000.0,6825,4,4770,15,"aranyam, shilaj gurugram"
274000.0,6500,4,2326,15,"aranyam, shilaj gurugram"
292000.0,7000,4,2299,1,"aranyam, shilaj gurugram"
399000.0,6500,4,6145,0,"aranyam, shilaj gurugram"
308000.0,6784,4,4540,5,"aranyam, shilaj gurugram"
274000.0,6500,4,2326,8,"aranyam, shilaj gurugram"
455000.0,6500,5,3848,11,"aranyam, shilaj gurugram"
464000.0,6500,5,7145,0,"aranyam, shilaj gurugram"
450000.0,6500,5,3948,15,"aranyam, shilaj gurugram"
474000.0,6502,5,4009,11,"aranyam, shilaj gurugram"
475000.0,6516,5,4100,1,"aranyam, shilaj gurugram"
4500000.0,4762,2,850,4,"avalon courtyard, ghodasar gurugram"
5000000.0,4708,2,1062,5,"avalon courtyard, ghodasar gurugram"
5000000.0,5263,2,950,4,"avalon courtyard, ghodasar gurugram"
4500000.0,4762,2,945,3,"avalon courtyard, ghodasar gurugram"
4460000.0,4720,2,945,2,"avalon courtyard, ghodasar gurugram"
5500000.0,5820,2,945,5,"avalon courtyard, ghodasar gurugram"
5500000.0,5820,2,945,4,"avalon courtyard, ghodasar gurugram"
6150000.0,6101,2,1008,2,"avalon courtyard, ghodasar gurugram"
291000.0,9009,4,3230,17,"ayaan, ambli gurugram"
310000.0,9600,4,1777,10,"ayaan, ambli gurugram"
291000.0,9009,4,1873,8,"ayaan, ambli gurugram"
316000.0,9800,4,1776,17,"ayaan, ambli gurugram"
298000.0,9250,5,3230,9,"ayaan, ambli gurugram"
298000.0,9250,4,1776,9,"ayaan, ambli gurugram"
298000.0,9250,4,1776,2,"ayaan, ambli gurugram"
306000.0,9500,4,1776,12,"ayaan, ambli gurugram"
300000.0,9233,4,1787,8,"ayaan, ambli gurugram"
298000.0,9250,4,1775,7,"ayaan, ambli gurugram"
298000.0,9250,4,3230,15,"ayaan, ambli gurugram"
300000.0,9288,4,1776,10,"ayaan, ambli gurugram"
306000.0,9500,4,1776,15,"ayaan, ambli gurugram"
298000.0,9226,4,3230,4,"ayaan, ambli gurugram"
641000.0,9496,5,6750,21,"ayaan, ambli gurugram"
1900000.0,3146,1,604,2,bapunagar gurugram
2000000.0,4000,1,500,1,bapunagar gurugram
3100000.0,3100,2,1000,2,bapunagar gurugram
4600000.0,3007,2,1530,0,bapunagar gurugram
2600000.0,3467,2,750,4,bapunagar gurugram
8700000.0,4350,4,2000,0,bapunagar gurugram
6700000.0,5019,2,1335,5,bhadaj gurugram
104000.0,4850,3,1145,7,bhadaj gurugram
140000.0,6087,3,2300,4,bhadaj gurugram
177000.0,6491,3,2727,21,bhadaj gurugram
145000.0,7323,3,9000,4,bhadaj gurugram
274000.0,5900,4,4650,9,bhadaj gurugram
260000.0,8497,4,1683,3,bhadaj gurugram
7000000.0,5983,2,1170,2,bodakdev gurugram
9200000.0,5380,3,1197,0,bodakdev gurugram
8000000.0,8466,2,756,7,bodakdev gurugram
6500000.0,6566,2,693,0,bodakdev gurugram
125000.0,7508,3,1165,0,bodakdev gurugram
150000.0,6803,3,2205,2,bodakdev gurugram
205000.0,7231,4,2410,5,bodakdev gurugram
151000.0,4591,4,2475,0,bodakdev gurugram
140000.0,6619,3,1735,4,bodakdev gurugram
150000.0,9804,4,1530,2,bodakdev gurugram
242000.0,8500,3,2847,9,bodakdev gurugram
190000.0,5864,4,3240,2,bodakdev gurugram
110000.0,8429,3,1260,3,bodakdev gurugram
398000.0,8850,4,2350,7,bodakdev gurugram
382000.0,8500,4,4500,15,bodakdev gurugram
275000.0,8987,4,3060,1,bodakdev gurugram
300000.0,10256,4,2097,1,bodakdev gurugram
350000.0,9722,4,3600,7,bodakdev gurugram
400000.0,9091,4,2460,17,bodakdev gurugram
280000.0,9573,4,1668,2,bodakdev gurugram
377000.0,8900,4,2330,15,bodakdev gurugram
368000.0,9200,4,1760,3,bodakdev gurugram
323000.0,7750,4,4170,10,bodakdev gurugram
375000.0,9615,4,2640,18,bodakdev gurugram
325000.0,10118,4,1767,8,bodakdev gurugram
300000.0,9146,4,1869,1,bodakdev gurugram
355000.0,10648,4,2200,4,bodakdev gurugram
400000.0,9590,4,3500,4,bodakdev gurugram
615000.0,11053,5,5564,11,bodakdev gurugram
580000.0,10100,4,3163,4,bodakdev gurugram
861999.9999999999,11500,5,4350,30,bodakdev gurugram
460000.0,8901,4,3000,16,bodakdev gurugram
603000.0,10500,4,5750,0,bodakdev gurugram
551000.0,8550,5,3547,5,bodakdev gurugram
672000.0,9988,5,6728,9,bodakdev gurugram
696000.0,8600,5,4455,4,bodakdev gurugram
869999.9999999999,11600,4,4125,21,bodakdev gurugram
585000.0,9000,5,3575,4,bodakdev gurugram
5000000.0,3876,2,1290,2,bopal gurugram
4000000.0,4938,2,810,1,bopal gurugram
3800000.0,3248,2,1170,3,bopal gurugram
4500000.0,4523,2,995,6,bopal gurugram
2900000.0,4489,1,452,0,bopal gurugram
5000000.0,4274,2,1170,2,bopal gurugram
5600000.0,4786,2,1170,4,bopal gurugram
9500000.0,5053,3,1316,0,bopal gurugram
9500000.0,5810,3,1144,0,bopal gurugram
5500000.0,3994,2,963,0,bopal gurugram
7800000.0,4149,3,1880,6,bopal gurugram
110000.0,5514,3,1995,11,bopal gurugram
252000.0,7814,4,2257,0,bopal gurugram
126000.0,5514,3,1599,0,bopal gurugram
137000.0,5074,4,2700,4,bopal gurugram
140000.0,7568,3,1295,0,bopal gurugram
9500000.0,7594,2,800,6,"casa vyoma, vastrapur gurugram"
140000.0,8408,3,1665,10,"casa vyoma, vastrapur gurugram"
140000.0,8358,3,1675,10,"casa vyoma, vastrapur gurugram"
155000.0,9309,3,1000,8,"casa vyoma, vastrapur gurugram"
145000.0,8709,3,999,8,"casa vyoma, vastrapur gurugram"
140000.0,8408,3,1025,10,"casa vyoma, vastrapur gurugram"
4500000.0,4386,2,718,0,chanakyapuri gurugram
5000000.0,4085,2,1224,6,chanakyapuri gurugram
5000000.0,4960,2,1008,10,chanakyapuri gurugram
4500000.0,4167,2,1080,4,chandkheda gurugram
4900000.0,4094,2,1197,2,chandkheda gurugram
4250000.0,3169,2,938,0,chandkheda gurugram
2600000.0,4444,1,360,5,chandkheda gurugram
2600000.0,3611,1,504,0,chandkheda gurugram
4500000.0,4167,2,756,0,chandkheda gurugram
4600000.0,4155,2,774,0,chandkheda gurugram
4500000.0,3937,2,1143,7,chandkheda gurugram
4700000.0,4352,2,900,1,chandkheda gurugram
3650000.0,3496,2,720,1,chandkheda gurugram
4500000.0,4500,2,1000,2,chandkheda gurugram
4800000.0,4638,2,724,0,chandkheda gurugram
3800000.0,3378,2,1089,2,chandkheda gurugram
3800000.0,4750,2,800,2,chandkheda gurugram
3000000.0,6000,1,500,2,chandkheda gurugram
4800000.0,4010,2,1197,4,chandkheda gurugram
4700000.0,4463,2,1053,2,chandkheda gurugram
3300000.0,2716,2,1215,5,chandkheda gurugram
3200000.0,3200,2,1000,2,chandkheda gurugram
3500000.0,4685,1,747,4,chandkheda gurugram
4900000.0,4321,2,793,0,chandkheda gurugram
2000000.0,4000,1,400,1,chandkheda gurugram
4000000.0,4193,2,954,2,chandkheda gurugram
4000000.0,3673,2,762,0,chandkheda gurugram
7500000.0,4902,3,1071,0,chandkheda gurugram
8000000.0,4805,3,1165,0,chandkheda gurugram
8000000.0,4444,3,1260,0,chandkheda gurugram
5800000.0,3271,2,1241,0,chandkheda gurugram
8450000.0,4648,3,1272,0,chandkheda gurugram
5100000.0,4326,2,825,0,chandkheda gurugram
7100000.0,6574,2,1080,8,chandkheda gurugram
8500000.0,4630,3,1285,0,chandkheda gurugram
6600000.0,4567,3,1445,3,chandkheda gurugram
7600000.0,6209,2,1224,5,chandkheda gurugram
8200000.0,5694,2,1440,4,chandkheda gurugram
100000.0,6653,3,1052,0,chandkheda gurugram
5400000.0,3774,3,1431,0,chandkheda gurugram
8500000.0,4497,3,1890,12,chandkheda gurugram
7000000.0,5833,2,757,5,chandkheda gurugram
5200000.0,4586,2,1134,5,chandkheda gurugram
6500000.0,3188,3,2039,1,chandkheda gurugram
100000.0,4444,4,2250,3,chandkheda gurugram
7000000.0,5185,3,1000,8,chandkheda gurugram
5900000.0,3973,2,1485,3,chandkheda gurugram
9200000.0,4623,3,1990,6,chandkheda gurugram
100000.0,5952,3,1680,2,chandkheda gurugram
6600000.0,3800,3,972,1,chandkheda gurugram
7700000.0,5520,3,1395,2,chandkheda gurugram
170000.0,5152,4,2310,0,chandkheda gurugram
120000.0,6568,3,1278,0,chandkheda gurugram
121000.0,4268,3,1710,5,chandkheda gurugram
120000.0,5455,3,2200,2,chandkheda gurugram
115000.0,5173,3,2223,4,chandkheda gurugram
115000.0,6389,3,1800,1,chandkheda gurugram
115000.0,5215,3,2205,4,chandkheda gurugram
110000.0,5685,3,1935,1,chandkheda gurugram
4200000.0,4667,2,900,1,chandlodiya gurugram
2500000.0,4167,2,600,4,chandlodiya gurugram
6000000.0,4938,2,850,0,chandlodiya gurugram
5500000.0,4365,2,765,2,chandlodiya gurugram
6200000.0,4444,2,906,7,chandlodiya gurugram
5500000.0,4186,2,1314,6,chandlodiya gurugram
149000.0,4705,4,2375,4,chandlodiya gurugram
6680000.0,4389,2,837,4,chharodi gurugram
9500000.0,5278,3,1800,7,chharodi gurugram
111000.0,4654,3,1311,3,chharodi gurugram
125000.0,5241,3,1305,5,chharodi gurugram
132000.0,4972,3,1460,10,chharodi gurugram
111000.0,4654,3,1311,9,chharodi gurugram
248000.0,7200,4,2068,10,"cloud 9, nehru nagar ambawadi gurugram"
177000.0,7759,3,1550,3,"cloud 9, nehru nagar ambawadi gurugram"
165000.0,7190,3,2295,1,"cloud 9, nehru nagar ambawadi gurugram"
210000.0,9150,3,1377,9,"cloud 9, nehru nagar ambawadi gurugram"
268000.0,7800,4,2068,10,"cloud 9, nehru nagar ambawadi gurugram"
300000.0,10194,4,1618,13,"cloud 9, nehru nagar ambawadi gurugram"
4500000.0,6000,2,750,1,"daxini society, maninagar gurugram"
4800000.0,3333,2,864,0,"daxini society, maninagar gurugram"
4750000.0,4798,2,693,0,"daxini society, maninagar gurugram"
2550000.0,3400,1,750,2,"daxini society, maninagar gurugram"
4100000.0,4380,2,936,0,drive in road gurugram
5800000.0,5273,2,1000,2,drive in road gurugram
155000.0,9309,3,1165,0,drive in road gurugram
210000.0,6481,4,2900,6,drive in road gurugram
180000.0,6667,5,2700,4,drive in road gurugram
270000.0,7500,4,3600,8,drive in road gurugram
262000.0,7500,4,1920,2,drive in road gurugram
111000.0,5646,3,967,6,"embrace, vaishnodevi circle gurugram"
132000.0,6765,3,1082,7,"embrace, vaishnodevi circle gurugram"
151000.0,5885,3,1405,8,"embrace, vaishnodevi circle gurugram"
155000.0,6165,3,1382,7,"embrace, vaishnodevi circle gurugram"
132000.0,6100,3,1195,4,"embrace, vaishnodevi circle gurugram"
140000.0,6087,3,1265,5,"embrace, vaishnodevi circle gurugram"
154000.0,7116,3,1255,7,"embrace, vaishnodevi circle gurugram"
8000000.0,4348,3,1840,0,ellisbridge gurugram
150000.0,7407,3,1250,1,ellisbridge gurugram
175000.0,8816,3,1985,13,ellisbridge gurugram
207000.0,8771,3,1652,0,ellisbridge gurugram
135000.0,6522,3,2070,4,ellisbridge gurugram
125000.0,6614,3,1890,7,ellisbridge gurugram
300000.0,8511,4,2135,7,ellisbridge gurugram
370000.0,8810,4,2520,3,ellisbridge gurugram
252000.0,7250,4,1914,5,"eminence 96, thaltej gurugram"
250000.0,7200,4,1915,7,"eminence 96, thaltej gurugram"
266000.0,7000,4,2095,7,"eminence 96, thaltej gurugram"
